Stock,URL,Market Cap,P/E Ratio,ROE,EPS,Dividend Yield,Book Value,ROCE,Debt to Equity,Face Value,Industry P/E,P/B Ratio
"TATASTEEL","https://groww.in/stocks/tata-steel-ltd","₹171087Cr","62.58","3.57%","2.19","2.63%","70.92",,"1.10","1",,"1.93"
"TECHM","https://groww.in/stocks/tech-mahindra-ltd","₹156090Cr","41.67","12.38%","38.27","2.50%","270.66",,"0.08","5",,"5.89"
"TITAN","https://groww.in/stocks/titan-company-ltd","₹283950Cr","87.72","33.31%","36.46","0.34%","109.66",,"2.22","1",,"29.17"
"UPL","https://groww.in/stocks/upl-ltd","₹48568Cr","1176.45","-7.44%","0.55","0.15%","358.80",,"1.23","2",,"1.80"
"ULTRACEMCO","https://groww.in/stocks/ultratech-cement-ltd","₹316663Cr","50.71","10.68%","216.29","0.64%","2125.54",,"0.28","10",,"5.16"
"WIPRO","https://groww.in/stocks/wipro-ltd","₹305035Cr","24.60","14.43%","11.84","0.17%","77.71",,"0.24","2",,"3.75"
"ADANIENT","https://groww.in/stocks/adani-enterprises-ltd","₹245846Cr","66.36","13.21%","32.10","0.06%","399.38",,"1.92","1",,"5.33"
"APOLLOHOSP","https://groww.in/stocks/apollo-tyres-ltd","₹25325Cr","19.62","10.13%","20.32","1.50%","225.25",,"0.34","1",,"1.77"
"BEL","https://groww.in/stocks/bharat-electronics-ltd","₹187423Cr","37.54","25.71%","6.83","0.86%","24.16",,"0.00","1",,"10.61"
"SHRIRAMFIN","https://groww.in/stocks/shriram-transport-finance-company-ltd","₹107957Cr","11.46","15.34%","50.09","1.57%","278.64",,"3.97","2",,"2.06"
"TRENT","https://groww.in/stocks/trent-ltd","₹176233Cr","91.18","29.14%","54.37","0.06%","131.64",,"0.39","1",,"37.66"
